title,aliases,year,month,category,ep,tid,replies,views,post_time,votes1,votes2,votes3,votes4,votes5,message,score,standard_deviation
谎言游戏,,2023,7,TV,12,2153068,1,4905,2023-9-16 23:50,0,0,4,7,6,,-111.7647,0.7579
五等分的新娘∽,,2023,9,TV,2,2153066,3,5573,2023-9-16 23:35,3,1,6,0,2,,25.0000,1.2990
BanG Dream! It's MyGO!!!!!,,2023,7,TV,13,2152851,66,28610,2023-9-15 09:34,581,78,16,15,19,,167.4189,0.8446
总之就是非常可爱 女子高中篇,,2023,7,WEB,4,2149624,0,5627,2023-8-23 17:42,0,3,2,1,4,,-60.0000,1.2806
特别篇 吹响！上低音号～合奏比赛～,,2023,8,OVA,1,2147420,4,8742,2023-8-7 13:46,70,21,3,1,0,,168.4211,0.5851
火凤燎原,,2023,4,TV,16,2147308,5,6281,2023-8-6 17:34,8,21,3,2,0,,102.9412,0.7470
长安三万里,,2023,7,MOV,1,2145686,24,13045,2023-7-24 16:00,67,40,20,5,17,,90.6040,1.3176
尼尔：自动人形 Ver1.1a,,2023,1,TV,12,2145585,4,7334,2023-7-23 23:14,33,28,12,0,1,,124.3243,0.8189
无神世界的神明活动,,2023,4,TV,12,2143191,10,9738,2023-7-6 01:02,54,48,11,2,2,,128.2051,0.8356
放学后失眠的你,,2023,4,TV,13,2142908,10,8804,2023-7-4 02:35,35,27,9,0,2,,127.3973,0.8799
Fate/strange Fake -黎明低语-,,2023,7,TV,1,2142753,2,8220,2023-7-2 23:13,17,34,14,0,2,,95.5224,0.8540
机动战士高达 水星的魔女,,2022,10,TV,24,2142675,55,16734,2023-7-2 16:25,9,15,57,34,302,,-145.0839,0.9979
魔术士奥芬的无赖之旅 拉玛城篇&圣域篇,,2023,1,TV,24,2142659,1,5219,2023-7-2 14:32,0,0,1,1,2,,-125.0000,0.8292
地狱乐,,2023,4,TV,13,2142599,4,8378,2023-7-2 00:41,0,5,36,6,7,,-27.7778,0.8032
物理魔法使-马修-,,2023,4,TV,12,2142598,0,6757,2023-7-2 00:39,0,2,11,5,8,,-73.0769,0.9828
在异世界获得超强能力的我，在现实世界照样无敌,,2023,4,TV,13,2142131,2,6278,2023-6-29 00:04,1,1,11,3,21,,-113.5135,1.0945
偶像大师 灰姑娘女孩 U149,,2023,4,TV,12,2142130,24,12441,2023-6-28 23:56,218,32,7,1,8,,169.5489,0.8049
【我推的孩子】,,2023,4,TV,11,2142119,34,14831,2023-6-28 22:28,75,142,41,10,10,,94.2446,0.9389
公爵的契约未婚妻,,2023,4,TV,12,2141903,3,5971,2023-6-27 17:08,2,7,4,0,0,,84.6154,0.6617
黄金神威 第四季,,2022,10,TV,13,2141902,2,6630,2023-6-27 17:05,27,7,1,1,0,,166.6667,0.6667
不知情的转学生硬要凑上来。,,2023,4,TV,13,2141691,0,5501,2023-6-26 12:06,0,4,0,1,1,,16.6667,1.2134
第二次被异世界召唤,,2023,4,TV,12,2141690,2,6209,2023-6-26 12:03,0,0,1,1,9,,-172.7273,0.6166
世界大明星,,2023,4,TV,12,2141689,11,8541,2023-6-26 11:57,50,23,8,2,2,,137.6471,0.9201
邻人似银河,,2023,4,TV,12,2141565,1,5487,2023-6-25 15:35,0,1,8,2,0,,-9.0909,0.5143
可爱过头大危机,,2023,4,TV,12,2141563,0,5311,2023-6-25 15:32,1,3,5,0,2,,9.0909,1.1642
六道的恶女们,,2023,4,TV,12,2141560,0,5288,2023-6-25 15:29,1,1,1,1,3,,-57.1429,1.4983
天国大魔境,,2023,4,TV,13,2141499,25,15021,2023-6-25 02:44,264,72,14,2,8,,161.6667,0.7837
和山田谈场Lv999的恋爱,,2023,4,TV,13,2141497,2,7279,2023-6-25 01:33,11,20,6,2,2,,87.8049,1.0168
异世界一击无双姐姐～姐同伴异世界生活开启～,,2023,4,TV,12,2141496,0,5796,2023-6-25 01:28,2,4,9,1,0,,43.7500,0.7881
魔法少女毁灭者,,2023,4,TV,12,2141494,14,9191,2023-6-25 01:24,1,1,6,20,41,,-143.4783,0.8249
女神的露天咖啡厅,,2023,4,TV,12,2141370,4,6847,2023-6-24 03:56,1,7,13,1,0,,36.3636,0.6428
总之就是非常可爱 第二季,,2023,4,TV,12,2141369,0,5386,2023-6-24 03:53,1,4,7,0,3,,0.0000,1.1547
小鸟之翼：高尔夫少女 第二季,,2023,4,TV,12,2141368,14,8118,2023-6-24 03:49,29,52,15,3,2,,101.9802,0.8557
江户前的废柴精灵,,2023,4,TV,12,2141367,5,7385,2023-6-24 02:30,20,40,10,0,0,,114.2857,0.6389
Love Live! 虹咲学园学园偶像同好会 NEXT SKY,,2023,6,OVA,1,2141305,2,6837,2023-6-23 17:47,14,7,3,0,2,,119.2308,1.1442
勇者死了！,,2023,4,TV,12,2141279,3,7037,2023-6-23 15:22,3,18,13,5,4,,25.5814,1.0586
通往夏天的隧道，再见的出口,,2022,9,MOV,1,2141198,1,6224,2023-6-22 22:54,2,10,16,11,8,,-27.6596,1.1052
我的百合乃工作是也！,,2023,4,TV,12,2141195,1,6667,2023-6-22 22:26,27,34,7,1,2,,116.9014,0.8719
为美好的世界献上爆焰！,,2023,4,TV,12,2141193,13,9026,2023-6-22 22:20,13,52,32,3,1,,72.2772,0.7593
熊熊勇闯异世界 PUNCH!,,2023,4,TV,12,2141021,0,6164,2023-6-21 16:43,0,1,6,3,2,,-50.0000,0.8660
机甲爱丽丝 Expansion,,2023,4,TV,12,2141017,1,5526,2023-6-21 16:37,2,12,7,1,4,,26.9231,1.1621
我家的英雄,,2023,4,TV,12,2141016,2,7126,2023-6-21 16:34,2,5,16,3,9,,-34.2857,1.1697
跃动青春,,2023,4,TV,12,2140902,18,11757,2023-6-20 22:38,150,28,7,2,6,,162.6943,0.8612
久保同学不放过我,,2023,1,TV,12,2140881,0,5361,2023-6-20 21:23,0,9,6,3,4,,-9.0909,1.1245
冰海战记 第二季,,2023,1,TV,24,2140737,8,8040,2023-6-20 00:06,81,21,3,4,7,,142.2414,1.1076
带着智能手机闯荡异世界。2,,2023,4,TV,12,2140735,0,5413,2023-6-20 00:02,1,0,6,1,4,,-58.3333,1.1873
转生贵族的异世界冒险录～不知自重的众神使徒～,,2023,4,TV,12,2140684,0,5757,2023-6-19 17:54,0,1,12,2,4,,-47.3684,0.8807
我与机器子,,2022,12,TV,28,2140636,2,5802,2023-6-19 12:05,2,8,1,0,1,,83.3333,0.9860
鬼灭之刃 锻刀村篇,,2023,4,TV,11,2140616,15,9626,2023-6-19 10:46,2,25,59,9,19,,-15.7895,1.0051
我心里危险的东西,,2023,4,TV,12,2140483,17,12652,2023-6-18 01:52,139,33,13,4,3,,156.7708,0.8327
国王排名 勇气的宝箱,,2023,4,TV,10,2140482,1,6087,2023-6-18 01:50,0,5,1,1,3,,-20.0000,1.3266
镜之孤城,,2022,12,MOV,1,2140196,6,8430,2023-6-15 21:17,2,13,8,3,4,,20.0000,1.1372
蜘蛛侠：纵横宇宙,,2023,6,MOV,1,2138272,18,10707,2023-6-3 22:53,123,18,7,1,7,,159.6154,0.9526
新子与千年魔法,,2009,11,MOV,1,2137977,1,4892,2023-6-2 00:49,3,4,0,0,0,,142.8571,0.4949
剧场版 刀剑神域 -进击篇- 黯淡黄昏的谐谑曲,,2022,10,MOV,1,2136017,3,7376,2023-5-25 13:33,1,6,23,7,2,,-7.6923,0.7969
赛马娘 ROAD TO THE TOP,,2023,4,WEB,4,2133519,4,8051,2023-5-7 23:24,60,46,14,1,0,,136.3636,0.7158
因为太怕痛就全点防御力了。2,,2023,1,TV,12,2129805,0,6328,2023-4-20 16:08,0,4,9,2,5,,-40.0000,1.0677
灌篮高手,,1993,10,TV,101,2129520,1,8085,2023-4-18 21:06,19,3,2,0,4,,117.8571,1.4156
灌篮高手 剧场版(2022),,2022,12,MOV,1,2129506,21,24005,2023-4-18 20:03,91,37,10,1,6,,142.0690,0.9589
超级马力欧兄弟大电影,,2023,4,MOV,1,2129225,2,8093,2023-4-17 15:43,13,27,6,3,1,,96.0000,0.8935
平家物语：犬王,,2022,5,MOV,1,2127937,14,9950,2023-4-8 18:09,74,38,9,1,3,,143.2000,0.8517
圣剑传说 玛娜传奇 -泪珠水晶-,,2022,10,TV,12,2127918,0,5612,2023-4-8 15:23,0,0,0,4,0,,-100.0000,0.0000
宝可梦 超世代,,2002,11,TV,192,2127858,3,7062,2023-4-7 23:21,0,1,2,0,0,,33.3333,0.4714
万事屋斋藤，到异世界,,2023,1,TV,12,2127458,1,6133,2023-4-4 21:05,3,12,8,5,3,,22.5806,1.1276
杀手奶爸,,2023,1,TV,12,2127457,0,5839,2023-4-4 21:01,1,6,5,2,1,,26.6667,0.9978
最强阴阳师的异世界转生记,,2023,1,TV,13,2127456,1,5392,2023-4-4 20:48,1,2,3,2,2,,-20.0000,1.2490
再得一胜！,,2023,1,TV,13,2127453,4,7025,2023-4-4 20:29,11,10,1,0,2,,116.6667,1.1055
文豪野犬 第四季,,2023,1,TV,13,2127451,0,6004,2023-4-4 20:15,0,0,2,1,3,,-116.6667,0.8975
致深爱你的那个我,,2022,10,MOV,1,2127444,3,7091,2023-4-4 18:55,0,5,3,1,1,,20.0000,0.9798
致我深爱的每个你,,2022,10,MOV,1,2127443,1,6401,2023-4-4 18:54,1,0,4,1,0,,16.6667,0.8975
狩火之王,,2023,1,TV,10,2127441,2,6383,2023-4-4 18:45,11,13,7,1,1,,96.9697,0.9687
TRIGUN STAMPEDE,,2023,1,TV,12,2127440,2,6732,2023-4-4 18:43,0,0,11,3,7,,-80.9524,0.9060
被解雇的暗黑士兵（30多岁）慢生活的第二人生,,2023,1,TV,12,2127257,2,6443,2023-4-3 14:33,0,2,7,2,1,,-16.6667,0.7993
为了养老金去异界存八万金,,2023,1,TV,12,2127212,0,5516,2023-4-3 11:04,0,0,5,4,1,,-60.0000,0.6633
舰队Collection：总有一天，在那片海,,2022,11,TV,8,2127210,1,5876,2023-4-3 10:57,0,0,1,3,10,,-164.2857,0.6103
间谍教室,,2023,1,TV,12,2127207,1,7125,2023-4-3 10:50,0,1,9,2,5,,-64.7059,0.9666
辉夜大小姐想让我告白-永不结束的初吻-,,2022,12,MOV,1,2127177,5,7102,2023-4-3 09:23,33,10,3,0,2,,150.0000,0.9354
小智是女孩啦！,,2023,1,TV,13,2126828,2,7641,2023-3-31 17:37,0,19,7,0,2,,53.5714,0.8230
吸血鬼马上死 第2季,,2023,1,TV,12,2126439,0,5784,2023-3-29 11:41,0,9,1,1,0,,72.7273,0.6166
拥有超常技能的异世界流浪美食家,,2023,1,TV,12,2126420,2,6180,2023-3-29 10:11,3,6,6,1,0,,68.7500,0.8455
影之诗F,,2022,4,TV,50,2126419,0,6472,2023-3-29 10:09,3,5,1,0,1,,90.0000,1.1358
英雄王，为了穷尽武道而转生～而后，成为世界最强的见习骑士♀～,,2023,1,TV,12,2126417,2,6864,2023-3-29 10:06,1,2,10,9,4,,-50.0000,0.9707
虚构推理 第二季,,2023,1,TV,12,2126416,1,6915,2023-3-29 10:04,5,16,10,0,1,,75.0000,0.8292
物之古物奇谭,,2023,1,TV,12,2126414,0,5920,2023-3-29 09:54,0,3,1,0,1,,20.0000,1.1662
数码宝贝幽灵游戏,,2021,10,TV,67,2126412,0,5364,2023-3-29 09:51,0,6,3,0,0,,66.6667,0.4714
蓝色监狱,,2022,10,TV,24,2126411,2,8170,2023-3-29 09:48,2,11,3,1,0,,82.3529,0.7059
博人传：火影忍者新时代,,2017,4,TV,293,2126409,0,5769,2023-3-29 09:44,0,1,0,0,6,,-157.1429,1.0498
英雄传说 闪之轨迹：北方战役,,2023,1,TV,12,2125936,6,7257,2023-3-26 12:01,1,6,8,4,9,,-50.0000,1.2392
异世界悠闲农家,,2023,1,TV,12,2125934,0,6717,2023-3-26 11:47,5,18,5,2,1,,77.4194,0.9055
剧场版 关于我转生变成史莱姆这档事 红莲之绊篇,,2022,11,MOV,1,2125933,0,5858,2023-3-26 11:25,0,0,1,0,1,,-100.0000,1.0000
虹四动画,,2023,1,TV,12,2125928,0,6595,2023-3-26 11:09,11,4,5,2,1,,95.6522,1.1970
关于邻家的天使大人不知不觉把我惯成了废人这档子事,,2023,1,TV,12,2125921,1,6316,2023-3-26 10:32,0,4,9,8,3,,-41.6667,0.9091
傲娇反派千金莉泽洛特与实况转播远藤同学及解说员小林同学,,2023,1,TV,12,2125912,4,6553,2023-3-26 10:06,2,10,2,1,1,,68.7500,0.9823
阿鲁斯的巨兽,,2023,1,TV,12,2125908,2,6667,2023-3-26 09:41,0,1,8,0,4,,-53.8462,1.0088
星之声,,2002,2,OVA,1,2125885,2,7105,2023-3-25 23:43,18,7,2,1,1,,137.9310,0.9970
云之彼端，约定的地方,,2004,11,MOV,1,2125884,0,6118,2023-3-25 23:42,6,12,2,0,1,,104.7619,0.8985
三体,,2022,12,WEB,15,2125805,10,11852,2023-3-25 13:53,2,0,0,2,113,,-191.4530,0.5323
宝可梦 旅途 目标是宝可梦大师,,2023,1,TV,11,2125784,0,6002,2023-3-25 11:43,1,2,10,3,3,,-26.3158,1.0178
无意间变成狗，被喜欢的女生捡回家。,,2023,1,TV,12,2125781,1,7774,2023-3-25 11:28,0,3,5,9,6,,-78.2609,0.9761
冰剑的魔术师将要统一世界,,2023,1,TV,12,2125780,2,7083,2023-3-25 11:24,1,2,5,3,11,,-95.4545,1.2239
福星小子(2022),,2022,10,TV,23,2125779,4,8195,2023-3-25 11:20,15,11,5,1,1,,115.1515,0.9885
REVENGER,,2023,1,TV,12,2125777,5,7198,2023-3-25 11:14,1,17,10,2,2,,40.6250,0.8965
不当哥哥了！,,2023,1,TV,12,2125574,25,15360,2023-3-23 23:10,168,47,10,3,3,,161.9048,0.7458
不相信人类的冒险者们好像要去拯救世界,,2023,1,TV,12,2125499,0,6073,2023-3-23 14:30,0,0,1,2,10,,-169.2308,0.6057
大雪海的卡纳,,2023,1,TV,11,2125498,3,6702,2023-3-23 14:28,0,1,18,10,5,,-55.8824,0.7743
冰属性男子与酷酷女同事,,2023,1,TV,12,2125495,0,5585,2023-3-23 14:16,0,3,3,1,0,,28.5714,0.6999
转生公主与天才千金的魔法革命,,2023,1,TV,12,2125493,2,8298,2023-3-23 14:09,7,39,33,23,3,,22.8571,0.9587
美味派对♡光之美少女,,2022,2,TV,45,2125155,0,5778,2023-3-21 17:34,0,1,1,0,0,,50.0000,0.5000
银河英雄传说 Die Neue These 策谋,,2022,9,MOV,12,2125154,0,6250,2023-3-21 17:26,13,2,0,1,0,,168.7500,0.7680
深海,,2023,1,MOV,1,2125151,3,8080,2023-3-21 17:11,6,11,12,12,5,,2.1739,1.2067
天使降临到我身边！珍贵的朋友们,,2022,10,MOV,1,2125150,0,5939,2023-3-21 17:06,2,5,2,1,0,,80.0000,0.8718
剧场版 擅长捉弄的高木同学,,2022,6,MOV,1,2125148,1,5638,2023-3-21 16:57,1,5,1,2,0,,55.5556,0.9558
在地下城寻求邂逅是否搞错了什么Ⅳ 深章 灾厄篇,,2023,1,TV,11,2125115,0,6308,2023-3-21 13:23,1,13,4,2,0,,65.0000,0.7263
不要欺负我，长瀞同学 二次攻击,,2023,1,TV,12,2125113,0,5737,2023-3-21 13:17,1,4,3,1,0,,55.5556,0.8315
入间同学入魔了！第三季,,2022,10,TV,21,2125112,0,5836,2023-3-21 13:13,0,1,2,0,0,,33.3333,0.4714
致不灭的你 第二季,,2022,10,TV,20,2125111,0,5585,2023-3-21 13:10,0,2,3,0,0,,40.0000,0.4899
被勇者队伍开除的驭兽使，邂逅了最强种的猫耳少女,,2022,10,TV,13,2125106,0,5840,2023-3-21 12:54,0,0,2,3,0,,-60.0000,0.4899
夫妇以上，恋人未满。,,2022,10,TV,12,2124913,2,6951,2023-3-20 11:17,2,6,1,0,3,,33.3333,1.4337
宇崎学妹想要玩！ω,,2022,10,TV,13,2124912,0,5506,2023-3-20 11:11,1,0,3,0,1,,0.0000,1.2649
传颂之物 二人的白皇,,2022,7,TV,28,2124910,3,6132,2023-3-20 11:00,0,2,3,6,2,,-61.5385,0.9231
惑星公主蜥蜴骑士,,2022,7,TV,24,2124905,1,6827,2023-3-20 10:52,0,0,0,0,6,,-200.0000,0.0000
我家师傅没有尾巴,,2022,9,TV,13,2124902,1,5467,2023-3-20 10:48,0,1,1,0,0,,50.0000,0.5000
忍之一时,,2022,10,TV,12,2124879,1,5994,2023-3-20 09:16,0,0,0,4,5,,-155.5556,0.4969
宝可梦 旅途,,2019,11,TV,136,2124877,3,6245,2023-3-20 09:08,0,0,1,0,9,,-180.0000,0.6000
新人炼金术师的店铺经营,,2022,10,TV,12,2124875,2,5896,2023-3-20 08:59,1,1,3,1,1,,0.0000,1.1952
因为是反派大小姐所以养了魔王,,2022,10,TV,12,2124874,1,6116,2023-3-20 08:50,0,0,3,0,0,,0.0000,0.0000
明日方舟：黎明前奏,,2022,10,TV,8,2124872,0,7545,2023-3-20 08:47,0,1,6,5,10,,-109.0909,0.9491
铃芽之旅,,2022,11,MOV,1,2124763,36,16028,2023-3-23 00:11,29,101,92,17,13,,46.0317,0.9607
鲁邦三世VS猫眼三姐妹,,2023,1,MOV,1,2124154,0,5937,2023-3-15 10:38,1,1,3,0,0,,60.0000,0.8000
异世界舅舅,,2022,7,TV,13,2123208,14,11865,2023-3-8 22:00,156,47,6,1,0,,170.4762,0.5420
想要成为影之实力者！,,2022,10,TV,20,2120026,24,17933,2023-2-17 00:58,194,35,10,2,9,,161.2000,0.8930
Kanon(2006),,2006,10,TV,24,2115436,5,8929,2023-1-18 10:38,7,7,4,0,0,,116.6667,0.7638
Kanon(2002),,2002,1,TV,13,2115432,1,7416,2023-1-18 10:28,2,2,2,0,0,,100.0000,0.8165
恋爱Flops,,2022,10,TV,12,2112418,12,10222,2022-12-28 22:30,14,51,27,8,1,,68.3168,0.8435
pop子和pipi美的日常 第二季,,2022,10,TV,12,2112361,8,9653,2022-12-28 15:48,6,10,5,2,40,,-95.2381,1.4846
4个人各自有着自己的秘密,,2022,10,TV,11,2112339,3,7349,2022-12-28 13:27,8,18,5,0,1,,100.0000,0.8292
死神：千年血战篇,,2022,10,TV,13,2112315,20,14127,2022-12-28 11:19,139,25,1,1,3,,175.1479,0.6687
电锯人,,2022,10,TV,12,2112299,44,42427,2022-12-28 10:33,13,59,85,65,60,,-35.4610,1.1616
底特律金属城,,2008,8,OVA,12,2112101,0,7503,2022-12-27 00:21,14,1,0,1,0,,175.0000,0.7500
摇滚新乐团,,2004,10,TV,26,2112099,1,7801,2022-12-27 00:09,12,4,0,2,0,,144.4444,0.9558
后宫之乌,,2022,10,TV,13,2111790,1,7454,2022-12-25 02:31,1,16,5,0,0,,81.8182,0.4896
孤独摇滚！,,2022,10,TV,12,2111776,57,29822,2022-12-24 23:28,487,99,26,7,13,,164.5570,0.7902
间谍过家家 后半,,2022,10,TV,13,2111773,7,9609,2022-12-24 23:05,24,49,25,3,1,,90.1961,0.8226
灵能百分百Ⅲ,,2022,10,TV,12,2111647,13,11740,2022-12-24 05:44,117,24,7,4,1,,164.7059,0.7451
剧场版 高达G之复兴 Ⅴ 越过死线,,2022,8,MOV,1,2111633,1,7204,2022-12-23 23:52,17,1,1,0,0,,184.2105,0.4881
剧场版 高达G之复兴 Ⅳ 在激斗中呼唤爱,,2022,7,MOV,1,2111631,2,8967,2022-12-23 23:39,30,0,0,3,1,,161.7647,1.0576
剧场版 高达G之复兴 III 来自宇宙的遗产,,2021,7,MOV,1,2111626,0,6755,2022-12-23 23:25,14,3,0,0,0,,182.3529,0.3812
秋叶原冥途战争,,2022,10,TV,12,2111421,34,13410,2022-12-23 02:45,113,81,38,13,8,,109.8814,1.0379
转生成为魔剑,,2022,10,TV,12,2111376,3,7581,2022-12-22 18:54,6,12,22,3,1,,43.1818,0.8893
Do It Yourself!!,,2022,10,TV,12,2111254,5,8880,2022-12-22 05:20,20,36,7,2,2,,104.4776,0.8883
无良公会,,2022,10,TV,12,2111253,19,12499,2022-12-22 05:02,87,28,7,1,0,,163.4146,0.6282
マブラヴ オルタネイティヴ 第二期,,2022,10,TV,12,2111251,4,7903,2022-12-22 04:26,0,26,12,1,1,,57.5000,0.6666
向山进发 Next Summit,,2022,10,TV,12,2111078,7,9382,2022-12-21 09:29,63,7,1,1,1,,178.0822,0.6672
浪漫杀手,,2022,10,WEB,12,2108039,0,6152,2022-12-3 02:26,5,2,3,0,0,,120.0000,0.8718
JOJO的奇妙冒险 石之海,,2022,1,TV,38,2107870,13,10024,2022-12-1 23:59,16,26,40,2,2,,60.4651,0.8929
NANA,,2006,4,TV,50,2104714,4,8824,2022-11-13 15:03,17,6,1,0,1,,152.0000,0.8998
电影 摇曳露营△,,2022,7,MOV,1,2103314,16,10770,2022-11-5 11:30,8,20,25,16,4,,16.4384,1.0600
勇者斗恶龙 达伊的大冒险,,2020,10,TV,100,2101307,9,11814,2022-10-24 23:30,62,2,2,2,0,,182.3529,0.6169
TIGER & BUNNY 2,,2022,4,WEB,25,2100869,0,6384,2022-10-21 21:07,0,0,4,0,0,,0.0000,0.0000
最近雇的女仆有点怪,,2022,7,TV,11,2100867,0,6122,2022-10-21 21:03,0,2,2,1,1,,-16.6667,1.0672
电影 五等分的新娘,,2022,5,MOV,1,2100866,1,8412,2022-10-21 20:57,6,5,5,0,0,,106.2500,0.8268
SHINE POST,,2022,7,TV,12,2100507,0,8133,2022-10-19 20:07,13,19,6,0,0,,118.4211,0.6827
黑之召唤士,,2022,7,TV,12,2100504,0,6314,2022-10-19 20:03,3,2,8,1,0,,50.0000,0.9063
风都侦探,,2022,8,TV,12,2100503,5,9090,2022-10-19 19:57,37,14,2,1,0,,161.1111,0.6503
Love Live! Superstar!! 第二季,,2022,7,TV,12,2098819,26,16010,2022-10-9 18:30,4,0,4,6,149,,-181.5951,0.7027
联盟空军航空魔法音乐队光辉魔女,,2022,7,TV,12,2098362,1,7590,2022-10-6 22:20,36,16,2,1,0,,158.1818,0.6520
在地下城寻求邂逅是否搞错了什么Ⅳ 新章 迷宫篇,,2022,7,TV,11,2098359,1,7933,2022-10-6 22:14,5,17,13,1,1,,64.8649,0.8452
打工吧！！魔王大人 第一季,,2022,7,TV,12,2098356,0,6994,2022-10-6 22:07,0,1,6,4,23,,-144.1176,0.8809
欢迎来到实力至上主义的教室 第二季,,2022,7,TV,13,2098000,2,8041,2022-10-4 13:52,0,6,20,8,17,,-70.5882,1.0534
异世界药局,,2022,7,TV,12,2097998,1,6880,2022-10-4 13:48,1,6,14,3,0,,20.8333,0.7059
杜鹃的婚约,,2022,4,TV,24,2097997,3,7182,2022-10-4 13:44,0,1,11,1,3,,-37.5000,0.8570
即使如此依旧步步进逼,,2022,7,TV,12,2097896,1,7177,2022-10-3 19:04,0,4,11,1,0,,18.7500,0.5266
影宅 第二季,,2022,7,TV,12,2097894,0,6814,2022-10-3 18:59,4,21,6,1,1,,78.7879,0.8074
组长女儿与照料专员,,2022,7,TV,12,2097758,0,6688,2022-10-2 18:51,0,0,1,1,2,,-125.0000,0.8292
在异世界迷宫开后宫,,2022,7,TV,12,2097757,6,8513,2022-10-2 18:45,9,9,19,4,13,,-5.5556,1.3665
彻夜之歌,,2022,7,TV,13,2097624,11,13853,2022-10-1 16:19,112,30,13,2,4,,151.5528,0.8854
夏日重现,,2022,4,TV,25,2097588,20,16918,2022-10-1 12:15,41,122,48,5,7,,82.9596,0.8615
来自深渊 烈日的黄金乡,,2022,7,TV,12,2097181,20,14242,2022-9-28 23:26,227,48,13,5,7,,161.0000,0.8394
青之芦苇,,2022,4,TV,24,2097165,4,8976,2022-9-28 20:53,20,26,6,1,1,,116.6667,0.8333
OVERLORD IV,,2022,7,TV,13,2097107,6,9699,2022-9-28 15:08,2,18,41,8,7,,0.0000,0.9032
天使特警,,2002,10,TV,24,2096572,1,7104,2022-9-25 16:56,2,9,0,0,1,,91.6667,0.9538
契约之吻,,2022,7,TV,13,2096492,25,14200,2022-9-25 09:48,40,174,61,9,2,,84.2657,0.7192
Extreme Hearts,,2022,7,TV,12,2096474,2,7125,2022-9-25 03:01,4,8,3,1,1,,76.4706,1.0588
顶点!!!!!!!!!!!!!!!,,2022,7,TV,12,2096461,7,9409,2022-9-25 00:19,57,27,0,1,1,,160.4651,0.6696
黑街二人组,,2001,4,TV,26,2096454,7,8862,2022-9-24 23:57,9,16,3,1,1,,103.3333,0.9123
莉可丽丝,,2022,7,TV,13,2096444,126,41416,2022-9-24 23:10,111,95,180,87,196,,-24.2152,1.4314
绽放的阿尔斯诺特利亚！,,2022,7,TV,12,2096280,0,6287,2022-9-23 20:33,0,2,5,2,3,,-50.0000,1.0408
继母的拖油瓶是我的前女友,,2022,7,TV,12,2096276,2,8967,2022-9-23 20:19,2,8,36,13,4,,-14.2857,0.8330
东京猫猫 新～♡,,2022,7,TV,12,2096273,0,6238,2022-9-23 20:14,0,0,4,1,5,,-110.0000,0.9434
邪神与厨二病少女X,,2022,7,TV,12,2096271,2,6972,2022-9-23 20:09,1,15,20,2,1,,33.3333,0.7280
金装的维尔梅～濒临堕落的魔法师和最强的灾厄一起冲入魔法世界～,,2022,7,TV,12,2096260,1,8092,2022-9-23 19:00,0,2,8,2,8,,-80.0000,1.0770
咒术回战0 剧场版,,2021,12,MOV,1,2096130,1,9690,2022-9-22 22:18,6,44,24,4,1,,63.2911,0.7493
天籁人偶,,2022,7,TV,12,2095702,0,7449,2022-9-20 14:06,0,1,5,7,9,,-109.0909,0.9000
幽零幻镜,,2022,7,TV,12,2095700,1,6887,2022-9-20 14:01,0,0,2,4,5,,-127.2727,0.7497
RWBY 冰雪帝国,,2022,7,TV,12,2095699,5,9490,2022-9-20 13:57,0,3,13,4,15,,-88.5714,1.0629
神在月的孩子,,2021,10,MOV,1,2095075,0,6448,2022-9-17 16:10,0,0,0,0,1,,-200.0000,0.0000
BASTARD!!—暗黑破坏神—,,2022,6,WEB,24,2095074,0,6607,2022-9-17 16:08,0,6,3,1,1,,27.2727,0.9621
租借女友 第二季,,2022,7,TV,12,2095073,0,7529,2022-9-17 16:05,4,3,8,3,9,,-37.0370,1.4181
转生贤者的异世界生活,,2022,7,TV,12,2092613,0,6576,2022-9-14 12:58,0,0,2,1,7,,-150.0000,0.8062
狂赌之渊双,,2022,8,WEB,6,2092597,2,6999,2022-9-14 12:55,4,15,7,0,1,,77.7778,0.8315
赛博朋克：Edgerunners,,2022,9,WEB,10,2092308,86,34240,2022-9-14 00:28,528,96,29,4,9,,169.6697,0.7047
攻壳机动队 SAC_2045 第二季,,2022,5,WEB,12,2091515,2,7362,2022-9-9 15:45,3,17,10,5,3,,31.5789,1.0539
通灵王,,2021,4,TV,52,2091513,0,6452,2022-9-9 15:43,0,0,5,0,3,,-75.0000,0.9682
BUILD-DIVIDE -#FFFFFF-,,2022,4,TV,12,2091509,0,6565,2022-9-9 15:39,0,5,0,0,0,,100.0000,0.0000
BUILD-DIVIDE -#000000-,,2021,10,TV,12,2091507,0,6611,2022-9-9 15:37,0,3,1,0,0,,75.0000,0.4330
BLUE THERMAL,,2022,3,MOV,1,2091506,0,6714,2022-9-9 15:35,0,0,2,2,0,,-50.0000,0.5000
神渣☆偶像,,2022,7,TV,10,2090622,1,7721,2022-9-4 07:32,2,7,7,1,0,,58.8235,0.7715
魔卡少女樱,,1998,4,TV,70,2090465,2,8157,2022-9-2 22:29,47,6,2,1,0,,176.7857,0.5973
银河英雄传说 Die Neue These 激突,,2022,3,MOV,12,2088442,1,8121,2022-8-22 22:05,9,12,0,1,0,,131.8182,0.6998
超时空要塞7,,1994,10,TV,52,2081485,2,9183,2022-7-17 00:08,32,9,2,1,0,,163.6364,0.6773
式守同学不只可爱而已,,2022,4,TV,12,2080201,0,7808,2022-7-9 20:52,0,1,16,5,7,,-62.0690,0.8872
